Seed 0,Seed 1,Seed 2,Seed 3,Seed 4,Seed 5
-123.18925655351589,-402.3417934877953,-62.59272838585531,-92.79631460276757,-163.55494376452805,-227.1643707093152
-304.6765126032078,-412.00305062763454,-63.345196647313394,-179.08763574964848,-147.0972287718056,-307.64464408495604
-235.99702930542307,-158.57394559797723,-456.1968653326529,-206.95946097055588,-134.13540980896911,-151.76020379612893
-408.3874769283622,-96.66593576200815,-72.55340710029502,-365.81185368489525,-93.435358483019,-203.36056570819636
-440.89956381258855,-263.34102022822896,-475.39557164813925,-70.84943858409733,-288.41179571058757,-299.31437044151426
-96.62209981703265,-190.01085133295194,-208.07681065995337,-109.6725690440422,-116.56600843999009,-284.56327947193506
-257.46510183255657,-356.0646897389889,-338.82005873040157,-471.96638035961604,-219.24483290395418,-95.65170630706538
-350.25649776315095,-157.26533988825815,-73.2341661036004,-16.50502064731016,-227.58278990725273,-116.98200853597488
-313.16452469653865,-9.155468400625228,-261.81856209605866,-252.49695616030047,-79.24848074293106,-244.86734009701556
-92.03837909796445,-92.59618894799942,-290.60233793589185,-93.90137137593729,-267.73307192714174,-155.94109844815964
-234.46097070259876,-387.79287011111376,-143.11995849684024,3.805925595782327,-96.80092241396838,-251.56632318194679
-99.07958611802601,-185.46594295054456,-431.95051922138134,-342.45269744728796,-37.6875079617523,-313.26026136133635
-259.74882329924236,-229.8014986031198,-178.08436225942813,-382.6870112735145,-360.5599071970455,-319.02161823623766
-57.96388226396196,-56.06810261472183,-325.3230185709981,-24.140090689516043,-41.19190385844333,-45.75110430512025
-18.937315387456607,-283.62782207820953,-278.42753190447206,-200.81619744299746,-118.90376795310435,-204.14627752520641
25.833076929630252,-508.86209387179304,-187.50783651405064,-91.4529976893124,-381.6973942280193,-293.6117133285643
-54.12049063385065,-103.6662852255776,-119.83720913362342,-84.26351265091463,-196.37113380070912,-300.0322193558674
-209.0708867104599,-367.1389354279203,-91.68145351153203,-271.7199817082717,-231.93217409670376,-60.022850475826694
11.428179834510974,-86.27162264127244,-390.2693102735395,-205.0597124967508,-52.54614739596787,-116.29489577314992
-190.98852075987583,-320.94830409989254,-174.78699382292194,-265.38197322358343,-238.5309415388646,-319.2857410996918
-62.40795362088391,-34.84198072641138,-312.17049625200923,-357.3444454351748,-125.21704317036286,-302.87868124960244
-59.26784567343717,-283.68662564976114,-346.937119267664,-269.24234749586196,-208.9585779301185,-457.52550668608023
-400.32942201276796,-148.59043708131782,-276.898728737718,-412.2560706837319,-250.01978958087741,-251.56449599240855
-460.88231460884,-204.93485337716788,-152.92964724180317,-259.87472667283134,-142.11826658928408,-87.85507127039864
-45.72159612727465,-190.33805524497814,-73.11666653476132,-126.94743892070719,-230.32247883749662,-221.16361747042143
-524.5655997129007,-191.95704439641474,-134.89465136104744,-315.14584138906775,-344.73063723689154,-176.04047504022398
-1634.0126405733802,-170.05685564608314,-205.63702868219218,-180.41628257259373,-147.36155890615237,-324.03670416587136
-531.6222009049637,-162.50256655050646,-103.78792677215036,-271.0703907660474,-442.6033511466731,-56.88494782629945
-516.548267208737,186.09797876147226,-259.4062494100491,-300.0802533784485,-338.0828402318028,-355.9493608677783
-327.45948485183237,-153.2272851887154,-67.81276810660373,-338.35048727763,-96.02957900157985,-149.78979382492093
-519.8917958425347,-48.375305243635644,-96.74325781996825,-157.64483133292526,-69.50875189932307,-294.37652608098915
117.53202807686219,-57.37886742149806,-60.43466263363589,-341.4853426908439,-350.1287563602073,-174.75418225970765
-164.52042058338498,-69.09511347228263,-422.98211042752774,-281.87915783759524,-307.4436679383427,-280.3261922036696
-134.96094500204495,-19.09389591397182,-443.0505950724675,-451.18526133349263,-200.92397793556813,-755.1212499536065
-151.5359702646948,-5.822876894480672,-396.72642571797985,-332.53695118662256,-377.9000893708324,-235.66696024872368
-173.8068250255044,11.868324773871834,-369.862795220857,-98.09257678176998,-129.99675329451003,-378.91203585848007
-315.47804610449185,-27.551554046694434,-232.1346936350284,-423.9297354145523,-101.68152142161243,-479.0039582945179
-89.59777324409785,221.03347758547721,-332.1637437898163,-563.8620265933966,-232.60332756985812,-491.04004907001763
-92.93046917109932,189.18091824631085,-300.27030795991857,-432.5213390636079,-83.9780581437343,-261.6572239759903
-23.057340918067453,15.946030266747073,-328.65340074008907,-354.387012998164,-63.19924522098482,-115.99647316151156
-91.01401955533387,-9.769182678766313,-598.658685287474,-232.62566371407152,-146.52978440540664,-96.79219839219375
53.77757260377984,-100.1457979641146,-531.6938822993409,-83.0514496317669,-117.40072871097101,-122.27465764336358
-15.561039542572527,-67.60854894532628,-311.29936123175696,-190.35019613669405,-31.580896028868988,-99.46702614913931
201.14090664581136,-45.96810255066125,-663.2832188190338,-190.79586176634103,-275.4611059737367,-44.75280710892131
130.21525781338718,-85.90765731785929,-185.92297238502977,-117.09794359642063,-155.74221399576462,-98.32176593945847
6.569779547422485,-178.07294625985378,-543.5973563101275,-111.9307892030599,-108.73065363041883,-101.00222273990387
-32.97568010972665,-107.59176003876942,-470.1378490121677,-70.75536475272514,-222.7604415466879,-19.949147489851093
-60.65519946400622,-57.24629233968318,-287.27253466602247,-87.30633211911433,-140.8233420502509,-287.1676265065663
169.04865436028388,-87.01574373823567,-344.58214465205754,-99.33053707261786,136.32686698658526,-398.23436433642155
-8.307403067719562,14.060620077147348,-456.58721121215115,-143.70203992459196,209.23913975158376,-392.7967530314005
187.16205957925163,18.995557585286093,-489.33904656620416,-136.51138207121832,-213.98094880017862,-422.2927154846965
-168.3841919121993,-5.423718920785595,-346.1272301973072,24.03004307957562,-249.14806220840828,-432.94425748110757
206.25857055619394,-63.830625487370405,-248.89496921571006,-212.70738355631858,-248.3111326977667,-246.51081802492553
-131.92696307395315,169.0253434027349,-320.05197655882216,-32.634835834195826,-20.846248369826217,-269.5643081871988
-46.07190780935698,141.61199974939763,-227.75181144815264,-51.48577006829971,-31.14271876922082,-309.86312036760455
-62.91180015232891,-94.93584790982555,-224.38965702264878,-255.06387249230843,-88.430112148185,-267.3407061168176
-38.211700157808245,-103.7803715911025,-127.445565544907,-83.61814342407992,240.49856780747484,-464.8985483658159
-70.49439464337831,229.86972729370038,-235.59120646290364,-84.09516702499802,-82.87966170738498,-76.49538859465137
-33.871600223714054,8.440962360490914,-234.14271867139706,-103.91268823921997,153.7024222989349,-34.87998520167436
-97.54614094561708,-34.76081397996202,-221.78689268811206,-65.05071753751436,-144.96387686504758,-79.38405973107942
-20.101154620208987,220.5735802791188,-226.31691253632465,-48.71654378334197,-43.04558330371562,-99.05043663808696
15.359376195550393,-87.56393437757318,-142.51604028522337,-49.5029517029206,169.1242747017251,18.233503676548324
188.86778594837347,-17.164843107718525,-61.76647463832319,-93.34510561687533,173.3353264894448,-76.42966057046863
207.5135068100931,1.8121599278749727,-74.57240720352334,-187.84927125990214,-161.71607189399998,28.534005463986205
-14.921629880521621,-69.64315813517557,-40.90535101822219,-83.82463271987567,184.57254145099483,-201.3181213876549
-47.98899288757522,-39.970761607718174,231.13796913325044,-119.65570333448761,-113.52694492668678,-33.473820170206565
-144.14915145050207,-15.472798509538535,198.42147224980448,-33.489678303157035,190.76197575376256,-105.40435817922084
-1.8967560565997132,-25.4001746237968,115.81945040074498,-144.3674948974345,-211.90818729315663,5.5749221381471585
-266.52039665117843,-0.02323769883069815,42.89207220506398,-171.110289188583,-22.5553077014376,-217.3658697926772
-108.25624388565184,244.6667748031011,207.4038709855545,-69.29784463843458,-29.287215947399986,-200.72523895720104
-111.58019228437917,-17.210230321497477,-59.57858489090272,-79.66233857504444,179.4099576238712,-179.37162624262152
0.232655861047931,159.41599126073734,0.8261421412919248,-73.11041973152754,178.50660577414354,-119.51821278227445
-140.15732790052726,11.742186802317491,-54.874596122491766,-69.47747173272069,-4.4448544396475995,-60.31259453557804
-79.62496494000992,1.2273819011286946,-31.37350332626906,1.519346361795499,-60.771207295224464,-73.21694059453228
-72.40416352783905,212.31585530299392,-42.12904009696579,-192.93903626995598,3.2243622235868514,-100.13576845295908
132.54953279523085,-40.17718416033114,-5.0073625207173365,-81.07864466302581,-35.28832825088881,-97.20924856134306
-69.06259741330895,6.818835854828379,-91.18730565611422,-226.41518982704255,-20.011372841752788,-124.63987559666498
187.81843246611788,20.336215275917723,-72.93517178948956,-27.1620278075317,169.66921961309473,-74.2547612869256
-28.928748033077625,29.600702535283034,-32.575270319252155,-3.7654894200607316,-123.57262939571325,-14.814004109484642
-51.75188494964747,-28.104194513146012,-28.499507388681494,217.38159269186588,-151.7913567023525,11.953916861416829
-81.84559679295116,-180.9662415160626,-131.01211116489563,-272.7613637391138,-55.05977440739686,20.90091358768467
-59.969464068951304,-128.8104523452523,-46.46494169637933,-420.614368226699,-43.29867253476793,-93.30695479894568
-48.01241552303806,-16.76953482859794,-43.787617856526026,-239.37741871179975,208.79625684686835,-63.220986893182435
-69.2689504440128,-54.882489618558495,246.4766793829873,-244.4778543334649,-13.44694355129522,-57.08101218558318
-90.40080111067361,146.91208257584077,-172.78995032837207,144.2241015280638,261.84701175950545,-111.42152415408994
-101.30674367616416,-64.9809917817033,-28.04835881521302,-113.85962441233815,-373.0611505914693,-40.52545837326225
154.88723528559564,31.021220644247734,-42.579577910042616,-144.4903048222947,-25.963292786852165,-48.705347045107956
-93.50610432766067,42.7592347029954,27.185961539571778,-163.5257799590921,-117.8691785221286,-9.813277555309071
-61.65940543220548,-59.748280427101285,6.9846715300528786,241.02026632122997,17.59156739381406,-64.86697255357512
14.157336619569847,-3.9937290238518983,-3.086517359127498,-125.99695269103525,-9.909154434786643,-42.38287068430408
-51.74829816720962,257.1560514724381,-48.874323325626854,214.89467960448366,36.83181419210223,-31.306409601731417
-25.610856524986414,-7.016027551760715,-74.37655151576108,-226.15444283357618,232.92609233340292,19.77571661887965
219.00276236156876,-51.29350794176262,26.96051370243667,-293.51672084201755,241.90954963937193,-55.84734344934934
-15.519880437447632,-202.92602202406778,-47.386119752533006,-152.14875306097503,173.69311241987933,-26.86184512803561
-0.1477737127383757,-229.4225455183831,2.601360381296587,-163.75996192112703,250.4860859450245,-128.5393059076015
-5.769494625140304,-47.19474896535277,-5.588338363746033,-164.20320862134645,0.2862798967608313,-234.4874413015692
8.711435017053331,-87.15757358625804,4.11948381193497,-124.29102771597152,211.28756330713531,-49.63728031300341
237.838229843313,-95.51989908608014,44.213629333767045,-128.52022731268693,217.38767589862474,-92.604033905384
89.79361080325593,231.6869994699279,-39.42822276858988,-165.1472102585416,-4.16345704987998,-143.88523218083412
-86.4307857402474,-103.54015553915625,45.37892204075928,-227.20752970397672,-74.07648000362283,-49.22139481015508
78.93563602087539,-70.98464084833802,-9.303180732060568,217.29490437243493,222.58638698561774,-16.267358794539017
-78.26684942336693,136.35473567332252,-23.183647335525748,193.41662430345815,220.96839228451645,-44.5093925065306
281.9919987083986,12.920474322201258,8.868615809330734,-85.97004136694223,133.22275513566387,-54.44861483185619
-55.50544497534439,-27.432083896327455,270.3796145766083,259.25639274988623,-92.30325777417976,-60.95114595543909
-70.5919648784626,-0.4408378264124764,3.943688636023424,212.85577627743652,185.33050703886607,-16.297281242887635
-101.11410805331339,-59.008384514652704,-28.71369396892605,242.59870272133628,184.51775212010563,-110.85826592787258
-136.5848268114571,198.6543580841305,273.3835555925716,-47.62087201620203,-43.078509116969094,-81.82590122269461
153.42943336867478,-120.87349804494266,260.5517110801039,138.63031506386716,115.64339979577487,8.647051219104725
145.94799817723654,-0.15227208356608912,12.150951621753293,-92.1927898734489,-173.85044648328153,-88.00109135509624
-93.79796986119561,181.50335147003494,240.73368076758499,160.60824626676583,28.26896837415393,-141.62908221428233
-50.021492149950845,-130.47946055829266,51.22917644319054,-185.29736762945285,217.05558445312175,-32.65116087917695
-104.33059142985174,-51.335463864092574,25.480531497909794,205.53991389272474,-37.57396867899512,-84.71883695514627
73.65403065334792,-138.74822319110262,34.08762423589644,-26.399796383808194,-149.44988120484516,-0.16025269590009739
-54.85799974219545,210.03154889966078,7.529883873625517,-67.41529267771023,237.9651391226351,-53.28922943844866
231.31016141636766,-43.407349647227214,-61.15720367594418,163.28553851111548,-2.918623521006211,-54.57285587019196
-17.669367497921044,-215.55201060408726,7.964733049237967,143.9680832675531,-120.23652387352287,-36.28029236170971
-60.02280410644881,-19.916694594587618,231.98218195822867,133.09173780958642,255.23958148685745,-121.37965702740199
-18.88125647499116,-10.69092444466957,225.105206518817,-60.68814744284472,-513.2408335971743,-72.00263069556262
218.8653581645009,-67.31837496555264,-38.3189370542386,19.451197530590676,-134.85244485605776,-35.883045120410145
-22.025553917966572,-42.195497061084005,-83.24287999703986,-23.419604090939302,-135.2184772751764,-31.375104010373047
240.5738075860013,-35.44191675058495,252.20677475545142,44.58086235640815,-57.86768561324244,-24.38464743497521
-28.468950857787505,-60.61353657205356,243.19563281172876,-2.098877748405883,-57.34268677692884,0.4172794300729856
-52.972878238157804,-54.02800124929055,-30.355437760406417,225.10552006615478,173.75026554941408,16.733947581985518
-28.690720242549276,-17.58513167612341,176.72679512499158,205.6102298190293,207.4883358996054,-31.289403820943697
-45.80481238178402,220.38382664305834,29.59542808325145,246.97486471461312,239.4888645122535,-34.492555026311415
-18.716607992011404,-78.80961409278443,270.0078685163935,-276.7519189530908,180.17791728353592,-3.2291306637663224
34.652205658119556,224.4005663254245,-185.39931403879353,-299.03291651156167,213.05994290384507,4.917587844411241
149.5944241951663,0.1667295794014052,5.620623584890495,-179.770289820186,212.32180870632288,-29.39546950756333
-180.77118887460986,232.14672082445097,265.72431417723175,274.9489940616128,200.06971565237518,2.7802695731213065
-74.32077608749046,-8.614819469264873,-104.47329149314078,249.34724049997322,242.69724196421922,18.801348056680123
-84.9149758572344,-117.28704085665233,127.22765677381437,271.7178657446999,173.82000801565331,-107.55379713625715
-55.8633796761273,-2.7206187726537476,-119.37842654595887,-10.230276685480817,-47.65230262941225,-38.49380468122522
-60.476283413369714,-126.10540634776586,-47.343095216217876,-236.84178415566868,-123.87150004842998,-25.401563998300325
-44.695318656113756,-162.8818863332586,-3.605348170278006,254.79357861090165,-53.609974390657676,-13.355540929096112
189.5302529607461,-197.71697748241337,155.58137369491425,233.05575494223586,124.28073370483501,-50.55880298179827
-199.35934377501513,-14.341189850822367,-45.18692753056554,-184.86324411122482,-5.808241968415558,-21.425957532057566
-17.679726946120468,-6.6164167438620884,-67.52987233062403,-205.0835579377804,198.96399129260666,12.514598951861998
-37.24562173990999,-30.541454668362192,-4.62681856033149,-449.10959230330667,120.01882796538726,-9.625823187507587
-113.61281352063374,147.4327442051575,-6.504068160891876,195.49837354903173,48.304902647654885,-31.91717364832347
-70.31744511379932,199.2736665398986,-253.64595901907072,-41.73149780599603,193.4214464893623,-92.99224887834254
